question,a,b,c,d
What is the capital of France?,Paris,London,Berlin,Madrid
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury
What is 5 + 7?,12,10,13,14
Which ocean is the largest?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean
What colour do you get by mixing red and blue?,Purple,Green,Orange,Yellow
How many days are in a leap year?,366,365,364,367
What is the boiling point of water at sea level?,100°C,90°C,80°C,120°C
Which animal is known as the King of the Jungle?,Lion,Tiger,Elephant,Bear
What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus
Which continent is Egypt located in?,Africa,Asia,Europe,South America
What is the square root of 64?,8,6,7,9
Which gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen
Who wrote Hamlet?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain
What is the hardest natural substance?,Diamond,Gold,Iron,Silver
Which instrument has 88 keys?,Piano,Guitar,Violin,Flute
What is the currency of Japan?,Yen,Won,Dollar,Euro
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars
How many continents are there?,7,5,6,8
What is H2O commonly known as?,Water,Salt,Hydrogen,Oxygen
Which bird is often associated with delivering messages?,Pigeon,Eagle,Owl,Sparrow
How many sides does a hexagon have?,6,5,7,8
What is 9 x 6?,54,45,56,63
Which colour is at the top of a rainbow?,Red,Violet,Green,Blue
What is the freezing point of water in Celsius?,0°C,32°C,-10°C,10°C
Which shape has three sides?,Triangle,Square,Pentagon,Circle
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Earth
How many minutes are in an hour?,60,30,100,90
Which metal is liquid at room temperature?,Mercury,Iron,Gold,Copper
What do bees collect from flowers?,Nectar,Water,Pollen dust,Sap
What is the tallest land animal?,Giraffe,Elephant,Horse,Camel
How many colours are in a traditional rainbow?,7,5,6,8
What is the capital of Japan?,Tokyo,Osaka,Kyoto,Seoul
Which season comes after winter?,Spring,Summer,Autumn,Monsoon
What is 100 divided by 4?,25,20,30,40
Which organ pumps blood through the body?,Heart,Lung,Liver,Brain
What is the smallest prime number?,2,1,3,0
Which fruit is traditionally associated with keeping the doctor away?,Apple,Banana,Orange,Grape
How many legs does a spider have?,8,6,10,4
What is the main language spoken in Brazil?,Portuguese,Spanish,English,French
Which is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi
What is the chemical symbol for gold?,Au,Ag,Gd,Go
How many strings does a standard guitar have?,6,4,5,7
Which planet is famous for its rings?,Saturn,Mars,Venus,Mercury
What is the opposite of 'hot'?,Cold,Warm,Cool,Mild
How many wheels does a tricycle have?,3,2,4,1
Which animal is known for its black and white stripes?,Zebra,Tiger,Panda,Skunk
What is 15 minus 8?,7,6,8,9
Which country is shaped like a boot?,Italy,Spain,Greece,Portugal
What gas do humans need to breathe to survive?,Oxygen,Carbon Dioxide,Nitrogen,Helium
How many days are in a week?,7,5,6,8
What is the capital of the United Kingdom?,London,Manchester,Liverpool,Edinburgh
Which is the closest star to Earth?,The Sun,The Moon,Polaris,Sirius
What do you call frozen water?,Ice,Steam,Snowflake,Frost
How many players are on a standard football (soccer) team?,11,9,10,12
Which planet do we live on?,Earth,Mars,Venus,Jupiter
What is 7 x 7?,49,42,56,47
Which insect produces honey?,Bee,Ant,Wasp,Fly
What colour are most school buses traditionally?,Yellow,Red,Blue,Green
How many cents are in a dollar?,100,50,10,1000
What is the capital of Singapore?,Singapore,Kuala Lumpur,Jakarta,Bangkok
