question,a,b,c,d
What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Cytoplasm
What force pulls objects toward the Earth?,Gravity,Friction,Magnetism,Tension
Which gas makes up most of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
What is the chemical symbol for water?,H2O,CO2,O2,NaCl
How many bones are in the adult human body?,206,201,210,198
What part of the plant conducts photosynthesis?,Leaf,Root,Stem,Flower
What is the speed of light approximately?,"300,000 km/s","30,000 km/s","3,000 km/s",300 km/s
Which planet has the most moons?,Saturn,Earth,Mars,Venus
What is the most abundant element in the universe?,Hydrogen,Oxygen,Carbon,Helium
What type of animal is a frog?,Amphibian,Reptile,Mammal,Fish
What is the center of an atom called?,Nucleus,Electron,Proton cloud,Shell
Which blood cells help fight infection?,White blood cells,Red blood cells,Platelets,Plasma
What do we call animals that eat only plants?,Herbivores,Carnivores,Omnivores,Predators
What is the largest organ of the human body?,Skin,Liver,Heart,Lungs
What process turns water into vapour?,Evaporation,Condensation,Freezing,Melting
What is the chemical symbol for oxygen?,O,Ox,O2,Og
How many planets are in our solar system?,8,9,7,10
What organ is responsible for thinking?,Brain,Heart,Liver,Stomach
What do bees do that helps plants reproduce?,Pollination,Digestion,Respiration,Germination
What is the hardest part of the human body?,Tooth enamel,Bone,Skull,Nail
What is frozen rain called?,Hail,Mist,Dew,Fog
Which vitamin do we get from sunlight?,Vitamin D,Vitamin C,Vitamin A,Vitamin B
What is the study of living things called?,Biology,Geology,Chemistry,Physics
What gas do plants release during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Methane
What is the smallest unit of life?,Cell,Atom,Molecule,Tissue
Which animal is a mammal that lays eggs?,Platypus,Kangaroo,Dolphin,Bat
What is the boiling point of water in Fahrenheit?,212°F,100°F,180°F,250°F
What planet is known for being the hottest?,Venus,Mercury,Mars,Jupiter
What do we call a baby frog?,Tadpole,Caterpillar,Larva,Chick
Which part of the eye controls how much light enters?,Pupil,Iris border,Cornea,Retina
What is the main gas found in the bubbles of soda?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen
How many chambers does the human heart have?,4,2,3,5
What is the process of a caterpillar becoming a butterfly?,Metamorphosis,Photosynthesis,Evaporation,Hibernation
What is the closest planet to the Sun?,Mercury,Venus,Earth,Mars
What do we call water in its gas form?,Steam,Ice,Frost,Dew
Which scientist proposed the theory of gravity after seeing an apple fall?,Isaac Newton,Albert Einstein,Galileo,Charles Darwin
What is the largest planet?,Jupiter,Saturn,Neptune,Uranus
What do we call the path a planet takes around the Sun?,Orbit,Axis,Rotation,Spiral
What is the human body mostly made of?,Water,Bone,Muscle,Fat
Which animal can regrow its tail?,Lizard,Dog,Rabbit,Horse
What do we call the bending of light through a prism?,Refraction,Reflection,Absorption,Diffusion
What is the green pigment in plants called?,Chlorophyll,Carotene,Melanin,Keratin
How many legs do insects have?,6,8,4,10
What is the natural satellite of Earth?,The Moon,The Sun,Mars,Venus
Which organ helps you breathe?,Lungs,Heart,Kidney,Liver
What is the unit of electrical resistance?,Ohm,Volt,Watt,Ampere
What kind of energy does the Sun provide?,Solar energy,Nuclear waste,Kinetic only,Sound energy
What do we call animals active at night?,Nocturnal,Diurnal,Aquatic,Migratory
Which metal is attracted to magnets?,Iron,Gold,Copper,Aluminium
What is the fastest land animal?,Cheetah,Lion,Horse,Greyhound
What is the term for animals with a backbone?,Vertebrates,Invertebrates,Mammals,Reptiles
What gas do humans exhale?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen
What is the layer of gases surrounding Earth called?,Atmosphere,Hydrosphere,Lithosphere,Biosphere
What do we call the remains of ancient organisms preserved in rock?,Fossils,Minerals,Crystals,Sediments
Which sense organ detects sound?,Ear,Eye,Nose,Tongue
What is the basic unit of heredity?,Gene,Cell,Atom,Protein
What is the state of matter that has a fixed shape?,Solid,Liquid,Gas,Plasma
What do we call the seasonal movement of animals?,Migration,Hibernation,Evolution,Adaptation
Which planet is famous for a great red spot?,Jupiter,Mars,Saturn,Neptune
What is the powerhouse measurement unit of force?,Newton,Joule,Pascal,Watt
